,equity,benchmark
2023-03-20,1071023.8536181464,1180107.0947645304
2023-03-21,1071023.8536181464,1187871.6785035226
2023-03-22,1071023.8536181464,1191885.860675383
2023-03-23,1071023.8536181464,1187236.9790624848
2023-03-24,1071023.8536181464,1176966.6808149235
2023-03-27,1071023.8536181464,1175623.1464623092
2023-03-28,1071023.8536181464,1171427.6100937896
2023-03-29,1071023.8536181464,1182456.2473944924
2023-03-31,1071023.8536181464,1199951.252507103
2023-04-03,1071023.8536181464,1203586.3053996621
2023-04-05,1071023.8536181464,1212443.0390455665
2023-04-06,1071023.8536181464,1216547.8580684867
2023-04-10,1071023.8536181464,1219131.8937636293
2023-04-11,1071023.8536181464,1225454.0153614169
2023-04-12,1071023.8536181464,1231578.2813820236
2023-04-13,1071023.8536181464,1232625.1128634056
2023-04-17,1071023.8536181464,1228507.8976814593
2023-04-18,1071023.8536181464,1227906.2010014646
2023-04-19,1071023.8536181464,1224600.93423572
2023-04-20,1071023.8536181464,1225000.670117038
2023-04-21,1071023.8536181464,1223793.091041014
2023-04-24,1071023.8536181464,1230638.6686267622
2023-04-25,1071023.8536181464,1232744.6472540132
2023-04-26,1071023.8536181464,1235934.565345185
2023-04-27,1071023.8536181464,1242582.2068592133
2023-04-28,1071023.8536181464,1254492.82282516
2023-05-02,1071023.8536181464,1261185.8632592575
2023-05-03,1071023.8536181464,1259178.812420597
2023-05-04,1071023.8536181464,1269820.0295044682
2023-05-05,1071023.8536181464,1259360.0861227172
2023-05-08,1071023.8536181464,1271600.4077209395
2023-05-09,1071023.8536181464,1271064.636068492
2023-05-10,1071023.8536181464,1274810.9324141284
2023-05-11,1071023.8536181464,1276294.6077593677
2023-05-12,1071023.8536181464,1275742.3347263986
2023-05-15,1071023.8536181464,1281705.9336469024
2023-05-16,1071023.8536181464,1276982.916563466
2023-05-17,1071023.8536181464,1271538.5879148878
2023-05-18,1071023.8536181464,1266201.4779924306
2023-05-19,1071023.8536181464,1269988.9875421016
2023-05-22,1071023.8536181464,1277939.0306992487
2023-05-23,1071023.8536181464,1281297.9068280538
2023-05-24,1071023.8536181464,1278924.0423745792
2023-05-25,1071023.8536181464,1282163.3841127767
2023-05-26,1071023.8536181464,1293826.720854517
2023-05-29,1071023.8536181464,1300058.1251067056
2023-05-30,1071023.8536181464,1302291.9290620945
2023-05-31,1071023.8536181464,1299567.7523743273
2023-06-01,1071023.8536181464,1299069.0082098795
2023-06-02,1071023.8536181464,1303260.4393569033
2023-06-05,1071023.8536181464,1307241.6187677202
2023-06-06,1071023.8536181464,1308799.510078037
2023-06-07,1071023.8536181464,1319374.802134361
2023-06-08,1071023.8536181464,1312314.9480854494
2023-06-09,1071023.8536181464,1308717.0836699682
2023-06-12,1071023.8536181464,1312978.4645714958
2023-06-13,1071023.8536181464,1322795.4980692177
2023-06-14,1071023.8536181464,1325750.4526006698
2023-06-15,1071023.8536181464,1323623.8673714015
2023-06-16,1071023.8536181464,1333778.81694439
2023-06-19,1071023.8536181464,1330539.4752061926
2023-06-20,1071023.8536181464,1335303.7054936637
2023-06-21,1071023.8536181464,1338683.188224486
2023-06-22,1071023.8536181464,1330428.1512585762
2023-06-23,1071023.8536181464,1319795.1446176963
2023-06-26,1071023.8536181464,1324275.0681929612
2023-06-27,1071023.8536181464,1332299.2468206468
2023-06-28,1071023.8536181464,1341671.1455169814
2023-06-30,1071023.8536181464,1354265.8845709919
2023-07-03,1071023.8536181464,1362339.486845703
2023-07-04,1071023.8536181464,1364655.7977037
2023-07-05,1071023.8536181464,1368047.51560447
2023-07-06,1071023.8536181464,1376113.0684252684
2023-07-07,1071023.8536181464,1365385.2392172934
2023-07-10,1071023.8536181464,1364466.1525695103
2023-07-11,1071023.8536181464,1372234.8415299982
2023-07-12,1071023.8536181464,1371662.0423895512
2023-07-13,1071023.8536181464,1370248.3972933549
2023-07-14,1071023.8536181464,1381915.7587620518
2023-07-17,1071023.8536181464,1390702.5426534524
2023-07-18,1071023.8536181464,1390698.3569374178
2023-07-19,1071023.8536181464,1397416.109195028
2023-07-20,1071023.8536181464,1404756.2452291893
2023-07-21,1071023.8536181464,1393360.7943136725
